id,UF,População 2016,nome,Total da Despesa por Função per capita,Legislativa per capita,Judiciária per capita,Essencial à Justiça per capita,Administração per capita,Defesa Nacional per capita,Segurança Pública per capita,Relações Exteriores per capita,Assistência Social per capita,Previdência Social per capita,Saúde per capita,Trabalho per capita,Educação per capita,Cultura per capita,Direitos da Cidadania per capita,Urbanismo per capita,Habitação per capita,Saneamento per capita,Gestão Ambiental per capita,Ciência e Tecnologia per capita,Agricultura per capita,Organização Agrária per capita,Indústria per capita,Comércio e Serviços per capita,Comunicações per capita,Energia per capita,Transporte per capita,Desporto e Lazer per capita,Encargos Especiais per capita,TOTAL DA DESPESA POR FUNÇÃO (INTRAORÇAMENTÁRIA) per capita,TOTAL GERAL DA DESPESA POR FUNÇÃO per capita,IDHM 2010,IDHM Educação 2010,IDHM Longevidade 2010,IDHM Renda 2010
1200013,AC,14120,Acrelândia,1740.9242917847,,,,431.752030453258,,,,67.1439553824363,,406.597526203966,,804.505425637394,,,,,,1.99330878186969,,26.6026855524079,,,,,,,2.3293597733711,,,1740.9242917847,0.604,0.466,0.808,0.584
1200054,AC,6863,Assis Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.588,0.456,0.77,0.578
1200104,AC,24311,Brasiléia,1792.55711488627,,,,604.444633293571,,,,25.4508728559088,6.94575665336679,364.039180206491,,681.974889967504,16.3467562008967,,38.7420340586566,,,,,24.0585685492164,,,,,24.0176467442721,6.53677635638188,,,,1792.55711488627,0.614,0.485,0.77,0.619
1200138,AC,9503,Bujari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.589,0.439,0.772,0.603
1200179,AC,10820,Capixaba,2008.92505914972,,,,468.257228280961,,,,79.4934436229205,10.0047560073937,416.096387245841,,996.423271719039,,,2.25752033271719,0.0813308687615527,,0.307763401109057,,5.85054066543438,,,,,,,,30.1528170055453,,2008.92505914972,0.575,0.398,0.794,0.601
1200203,AC,82075,Cruzeiro do Sul,1739.38593481572,50.5750321047822,0.214857264696924,,273.450103076454,,,,48.7880118184587,29.5756236369175,339.585301492537,,621.077616935729,4.12056009747182,,123.214736521474,,6.26918477002741,0.65120182759671,,43.4601954310082,,,,,,27.514298872982,38.118252208346,132.770958757234,,1739.38593481572,0.664,0.582,0.776,0.648
1200252,AC,17038,Epitaciolândia,1648.09535567555,,,,256.461263645968,,,,61.1732075360958,,395.092921704425,,645.070343350159,13.0691923934734,,44.1148626599366,,,32.5458169973002,,17.1362724498181,,,,,,65.4326663927691,76.796066439723,41.202742105881,,1648.09535567555,0.653,0.553,0.771,0.654
1200302,AC,32372,Feijó,1392.21440905721,,,,367.224614481651,,,,58.957960892129,,288.758598789077,,616.319591004572,10.5172562708514,,36.7529154825158,,,3.90054213517855,,9.78293000123564,,,,,,,,,,1392.21440905721,0.539,0.388,0.723,0.559
1200328,AC,7685,Jordão,2846.17028627196,,,,649.100733897202,,,,95.5835679895901,13.2046636304489,482.583337670787,,1459.0887482108,,5.25195055302537,2.85652569941444,,6.4244619388419,,,119.459031880286,,,,,,,12.6172648015615,,,2846.17028627196,0.469,0.283,0.731,0.499
1200336,AC,17545,Mâncio Lima,2054.22253519521,,,6.38358506697065,378.518767170134,,,,70.3711154174979,,311.744906811057,,974.054377315475,18.5454750641208,,60.6462775719578,,,,,39.2962097463665,,,,,5.13669136506127,123.291898546594,16.0745192362496,50.1587118837276,,2054.22253519521,0.625,0.546,0.77,0.58
1200344,AC,8765,Manoel Urbano,2044.06311466058,78.5886286366229,,,477.297535653166,,0.0855675984027382,,109.321612093554,,392.541750142613,,870.322334284084,6.52092983456931,,32.1812846548774,,,2.77669709070165,,55.1369629207074,,4.21390188248717,,,,,3.51637193382772,11.5595379349686,,2044.06311466058,0.551,0.373,0.767,0.586
1200351,AC,17401,Marechal Thaumaturgo,2364.73866099649,,,9.8957703580254,316.12021033274,,,,52.8232871674042,,340.266400206885,,1436.47290443078,1.66671455663468,,118.750780989598,,5.50114303775645,2.71064881328659,,41.4340555140509,,,,,5.00460893052123,9.84329004080225,1.93781966553646,22.311026952474,,2364.73866099649,0.501,0.361,0.726,0.479
1200385,AC,18336,Plácido de Castro,1872.57529504799,74.0619546247818,5.55921084205934,,697.504135034904,,,,33.2997633071553,,267.345971313264,13.3281931719023,552.083851439791,7.45027759598604,,62.1184156849913,,,,,0.331215095986038,,,,,39.8387145506108,56.6226183464223,11.5155671902269,51.5154068499127,,1872.57529504799,0.622,0.517,0.786,0.593
1200807,AC,17111,Porto Acre,1322.87660335457,45.8507340307405,1.63726199520776,,221.260178247911,,,,66.5715428671615,,371.46047104202,,524.77100753901,,,13.4326608614342,,,,,14.1722558588043,,,,0.68864064052364,,5.97174156975045,0.0584419379346619,57.0016667640699,,1322.87660335457,0.576,0.418,0.771,0.593
1200393,AC,11059,Porto Walter,2380.24500859029,,,11.5792856496971,344.703552762456,,,,100.6638412153,,321.21947192332,,1203.53778460982,0.24414504023872,,122.232057148024,,67.6715688579438,,,105.025318744914,,,,,22.4224685776291,48.3933149471019,15.2665566506917,17.2856424631522,,2380.24500859029,0.532,0.397,0.726,0.521
1200401,AC,377057,Rio Branco,1926.8006985416,58.36313788101,,27.3073849311908,226.084439991831,,6.51417016525353,,48.2051496458095,58.7069984644232,301.001051008203,5.34135958223823,381.970599564522,9.43393521403926,10.6182458620315,566.008902632758,1.34265840443222,28.8972134186608,81.4388869852569,,31.2307014058882,,,,,,29.1366706094834,6.21773127139928,48.981461503168,69.2504035464134,1996.05110208801,0.727,0.661,0.798,0.729
1200427,AC,17464,Rodrigues Alves,2059.00506069629,,,,397.890780462666,,,,52.742139257902,,374.779306573523,,1158.17183749427,3.1310123683005,,3.86228298213468,,,1.56556344480073,,7.67292716445259,,,,,1.00744388456253,44.9610885249656,0.360742098030234,12.859936440678,,2059.00506069629,0.567,0.477,0.736,0.518
1200435,AC,6021,Santa Rosa do Purus,2846.56104301611,,,,661.910724132204,,,,115.347857498754,,404.025608702873,,1483.67445274871,16.7024215246637,,3.07324364723468,,3.18246138515197,2.64610529812324,,14.4507639926922,,,,,,55.6230626141837,,85.9243414715164,,2846.56104301611,0.517,0.34,0.781,0.519
1200500,AC,42451,Sena Madureira,1323.79274033592,,4.7866054981037,,270.400978068832,,,,48.8728873289204,5.17764175166663,292.049891168641,0.0150762055075263,513.847303008174,17.4475750865704,0.0249699653718405,42.9097816305858,,,62.2445000117783,,18.4507896162635,,,,,,25.6913801795011,0.0353348566582648,21.8380259593414,,1323.79274033592,0.603,0.456,0.81,0.593
1200450,AC,21369,Senador Guiomard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.513,0.786,0.649
1200609,AC,39427,Tarauacá,1766.14215360032,44.7012653765186,,14.2258553782941,148.43086007051,,,,68.8898239784919,,296.266476779872,,856.71290866665,15.3160912572603,0.05579932533543,179.004944073858,,3.58955056179775,1.33418013036751,,47.1672026783676,,,,,,51.1822644380754,6.74882263423542,32.5161082506912,,1766.14215360032,0.539,0.392,0.72,0.554
1200708,AC,17894,Xapuri,1503.96229574159,,2.24935732647815,,259.190900860624,3.00237286241198,,,42.5664524421594,,390.32434894378,,375.363828098804,73.7489460154242,,196.14819548452,,,10.1964764725606,,58.4601726835811,,,,,,65.1026930814798,1.00033530792444,26.608216161842,,1503.96229574159,0.599,0.448,0.773,0.621
1300029,AM,15729,Alvarães,1675.269678937,73.0386381842457,,,135.439034903681,,,,57.8067423230975,,252.516412359336,,741.054763812067,17.1339563862928,,242.40696929239,,,46.5731661262636,,15.3624070188823,,,,,5.0384779706275,,0.777798970055312,88.1213115900566,,1675.269678937,0.527,0.377,0.778,0.499
1300060,AM,11047,Amaturá,1881.01995835974,,,,321.228929121028,,3.2508762559971,,76.9300343984792,,327.226422558161,,980.903903322169,2.39522042183398,,78.2143604598534,,,,,7.79346700461664,,,,,,55.2681995111795,5.06691680999366,22.7416284964244,,1881.01995835974,0.56,0.455,0.773,0.499
1300086,AM,12653,Anamã,2470.04810479728,83.7307958586896,,,160.290801390974,,,,104.064054374457,,445.497139808741,,1212.06320240259,,,260.893950051371,,3.51101477910377,17.0995076266498,,5.57717537342923,,,,,,49.1396135303881,62.4944827313681,65.6863668695171,,2470.04810479728,0.594,0.526,0.741,0.537
1300102,AM,19749,Anori,1373.08285330903,71.4492328725505,,,154.348027241886,,12.9728067243911,,57.7552858372576,,284.929161982885,,484.852841662869,9.47889007038331,5.364792647729,134.097945212416,,8.12364727327966,,,26.960057218087,,,,,,,14.4232513038635,108.326913261431,,1373.08285330903,0.561,0.433,0.757,0.54
1300144,AM,21031,Apuí,1595.51560125529,72.7701412201037,,,265.177828919215,,0.710158813180543,,40.3511525842803,,385.565868479863,,478.914217583567,5.50308116589796,,135.6794137226,,8.82130141220104,0.755551328990538,,26.9561685131473,,,13.6663021254339,,16.5410165945509,93.4343911368932,2.13997337264039,48.5290342827255,,1595.51560125529,0.637,0.54,0.772,0.621
1300201,AM,18599,Atalaia do Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.259,0.733,0.481
1300300,AM,37752,Autazes,1613.95500662217,,,,312.79131675143,,2.36755801017165,,65.7247544500954,16.3373900720492,330.716091862683,,659.229861199407,5.36232755880483,,139.218535706718,,,10.8443618881119,,25.163481140072,,,,,,1.37735934520025,7.5045412163594,37.3174274210638,,1613.95500662217,0.577,0.446,0.799,0.539
1300409,AM,27589,Barcelos,1273.14648446845,69.1422305991518,,,285.583386857081,,,,45.7018438508101,30.1002722099387,221.52221718801,,340.199528072783,1.99354815324948,,189.361561129436,,28.7399043096886,6.89697451882997,,,,,,,,28.9455000181232,24.9595175613469,,1.23020044220523,1274.37668491065,0.5,0.315,0.728,0.545
1300508,AM,31105,Barreirinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.574,0.522,0.774,0.469
1300607,AM,40417,Benjamin Constant,1756.51500705149,52.7578179973773,,,243.48410272905,,0.378630031917263,,48.2550273399807,48.726861964025,318.974521117352,,861.926925056288,6.70588415765643,,113.585352945543,,,4.97617017591608,,23.8074842269342,,,,,,,,32.936229309449,,1756.51500705149,0.574,0.471,0.763,0.526
1300631,AM,18579,Beruri,2273.03103396308,54.9440190537704,,,369.196789924108,,0.645890521556596,,75.2609419236773,9.35416168792723,378.763751009204,,1153.95225846386,1.58297001991496,,162.611085096076,,11.5045669842295,22.988708757199,,22.0074810269659,,,,,,,10.2184094945907,,0.354834490553851,2273.38586845363,0.506,0.346,0.731,0.512
1300680,AM,18080,Boa Vista do Ramos,1721.9071460177,71.5547853982301,,,271.981610066372,,7.63429203539823,,77.3149911504425,,299.025449668142,,776.38054590708,,,80.064564159292,,,12.9042699115044,,28.6715647123894,,,,,,,14.5250918141593,81.8499811946903,,1721.9071460177,0.565,0.484,0.75,0.496
1300706,AM,33840,Boca do Acre,1437.57937884161,61.2907765957447,,,240.371301713948,,,,38.3644734042553,,305.912240543735,,560.266735224586,28.2144382387707,,147.635932919622,,0.251815898345154,,,11.8485942671395,,,,,,,,43.423070035461,,1437.57937884161,0.588,0.455,0.777,0.576
1300805,AM,39885,Borba,1930.19321674815,54.2086508712549,,,111.614748652376,,0.0877372445781622,,39.7527489030964,3.82767732230162,472.100340478877,,937.273973674314,22.1234449040993,0.0596715557227028,182.251093894948,,4.45581346370816,2.34916760686975,,23.5653335840542,,,,,,,43.8485380468848,32.6742765450671,,1930.19321674815,0.56,0.425,0.776,0.532
1300839,AM,12622,Caapiranga,2336.21440421486,82.9756464902551,,,414.398424972271,,,,70.4895436539376,141.923540643321,430.563273649184,,967.710977658057,,,164.236370622722,,,,,,,,3.56520361273966,,,19.8869537315798,36.7319022341943,3.73256694660117,,2336.21440421486,0.569,0.436,0.775,0.544
1300904,AM,15312,Canutama,1638.75384992163,85.4177919278997,,,242.995487852665,,0.0350783699059561,,100.103313087774,,344.732385057471,,549.553682732497,8.61392567920585,,204.34180316092,3.04416340125392,,15.6243991640543,,15.2813753918495,,,,,,,16.5879036050157,52.4225404911181,39.4498308516197,1678.20368077325,0.53,0.379,0.752,0.522
1301001,AM,28111,Carauari,1789.04446373306,63.6558731457437,,,225.183272028743,,,,87.7791473088826,65.65421792181,287.840198143076,,814.218027818292,4.23267048486358,,111.092458468215,,,18.8632503290527,,26.7967994735157,,,,,,,24.2948379637864,59.4337106470777,,1789.04446373306,0.549,0.416,0.745,0.534
1301100,AM,36922,Careiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.557,0.431,0.779,0.515
1301159,AM,28592,Careiro da Várzea,1446.80051657806,56.8462569949636,,,178.442519935646,,0.665359191382205,,69.1853364577504,,345.94410184667,,552.152360800224,0.339918508673755,,120.363961247902,,32.4318012031337,0.246572467823167,,19.2033925573587,,,,,,48.7127259373251,,22.266209429211,,1446.80051657806,0.568,0.45,0.779,0.523
1301209,AM,83929,Coari,2570.65881316351,91.4552789858094,,43.7674142429911,371.173158860465,,0.0274041153832406,,116.328121507465,75.4656286861514,660.460726089909,,740.525428993554,61.3981417626804,,334.445963373804,,26.8216001620417,11.7887429851422,,29.1148661368538,,,,7.88633726125654,,,,,,2570.65881316351,0.586,0.425,0.78,0.606
1301308,AM,27303,Codajás,1308.24537999487,63.1319118778156,,,196.373085008973,,,,39.1551338680731,,277.711667582317,,480.139646558986,23.9076478775226,,124.600599934073,1.83130058967879,,7.92999926747976,,38.3793791891001,,,,10.2233732556862,,,12.050015382925,32.8116196022415,,1308.24537999487,0.563,0.421,0.775,0.546
1301407,AM,34461,Eirunepé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.563,0.431,0.756,0.548
1301506,AM,19143,Envira,2000.70892023194,73.9735997492556,,,360.301284542653,,,,32.930667084574,56.2252113043932,330.280808128298,,804.097700987306,9.83074753173484,,89.9243420571488,,73.7320879694928,,,,,,,,12.1571927075171,62.167273154678,26.8357133155723,68.2522916993157,,2000.70892023194,0.509,0.349,0.727,0.521
1301605,AM,20199,Fonte Boa,2668.06867864746,72.8878390019308,,,252.641078271202,,0.116041388187534,,87.2839467300361,93.5270211396604,562.309309866825,,1308.65309124214,27.2020862418932,,119.85694588841,,35.9224387345908,10.4897168176642,,55.52700876281,,,,,,,,41.652154562107,2.13374721520867,2670.20242586267,0.53,0.4,0.719,0.518
1301654,AM,16085,Guajará,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532,0.387,0.762,0.51
1301704,AM,52354,Humaitá,1530.24660216984,56.3272302020858,,,171.816114719028,,,,37.3849868204913,20.6736064102074,453.279543492379,,590.48420751041,8.91423043129465,1.05639034266723,150.046883332697,,,2.04347939030447,,19.3595463574894,,,,,,,18.86038316079,,,1530.24660216984,0.605,0.451,0.791,0.621
1301803,AM,27587,Ipixuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.481,0.302,0.772,0.476
